Category: All categories

Week,Ethereum: (United States)
2021-12-26,72
2022-01-02,100
2022-01-09,94
2022-01-16,90
2022-01-23,99
2022-01-30,77
2022-02-06,71
2022-02-13,62
2022-02-20,68
2022-02-27,59
2022-03-06,50
2022-03-13,46
2022-03-20,53
2022-03-27,58
2022-04-03,49
2022-04-10,44
2022-04-17,43
2022-04-24,42
2022-05-01,46
2022-05-08,73
2022-05-15,45
2022-05-22,40
2022-05-29,39
2022-06-05,41
2022-06-12,92
2022-06-19,51
2022-06-26,40
2022-07-03,34
2022-07-10,35
2022-07-17,45
2022-07-24,38
2022-07-31,36
2022-08-07,44
2022-08-14,41
2022-08-21,38
2022-08-28,36
2022-09-04,40
2022-09-11,93
2022-09-18,44
2022-09-25,29
2022-10-02,25
2022-10-09,25
2022-10-16,21
2022-10-23,30
2022-10-30,24
2022-11-06,41
2022-11-13,35
2022-11-20,29
2022-11-27,23
2022-12-04,22
2022-12-11,26
2022-12-18,24
2022-12-25,22
2023-01-01,20
2023-01-08,28
2023-01-15,30
2023-01-22,24
2023-01-29,23
2023-02-05,18
2023-02-12,19
2023-02-19,17
2023-02-26,18
2023-03-05,18
2023-03-12,32
2023-03-19,30
2023-03-26,24
2023-04-02,27
2023-04-09,39
2023-04-16,32
2023-04-23,22
2023-04-30,24
2023-05-07,22
2023-05-14,19
2023-05-21,19
2023-05-28,19
2023-06-04,19
2023-06-11,16
2023-06-18,21
2023-06-25,19
2023-07-02,19
2023-07-09,21
2023-07-16,19
2023-07-23,18
2023-07-30,17
2023-08-06,16
2023-08-13,18
2023-08-20,16
2023-08-27,15
2023-09-03,14
2023-09-10,16
2023-09-17,14
2023-09-24,14
2023-10-01,15
2023-10-08,14
2023-10-15,15
2023-10-22,23
2023-10-29,18
2023-11-05,31
2023-11-12,25
2023-11-19,22
2023-11-26,21
2023-12-03,39
2023-12-10,29
2023-12-17,23
2023-12-24,27
2023-12-31,22
